id,from,to,x,y,wkt,count
10,26703746,2951553394,4593527.188303881,5822618.943392616,"LINESTRING (4593483.18694052 5822597.477937725, 4593571.189667243 5822640.408847506)",8980
100009,1957082051,1837885687,4594466.646481561,5823434.080273656,"LINESTRING (4594503.944508264 5823474.537360332, 4594429.348454858 5823393.623186979)",7070
100010,1837885687,1957082051,4594466.646481561,5823434.080273656,"LINESTRING (4594429.348454858 5823393.623186979, 4594503.944508264 5823474.537360332)",8380
100011,1837885687,4363544518,4594370.201342874,5823306.702401916,"LINESTRING (4594429.348454858 5823393.623186979, 4594311.05423089 5823219.781616851)",7160
100012,4363544518,1837885687,4594370.201342874,5823306.702401916,"LINESTRING (4594311.05423089 5823219.781616851, 4594429.348454858 5823393.623186979)",8640
10027,612413639,28794542,4596359.504222603,5820732.045723172,"LINESTRING (4596381.41688096 5820784.225083948, 4596337.5915642455 5820679.866362397)",230
100644,1668033985,25954557,4595282.818363717,5822688.175739303,"LINESTRING (4595241.357277021 5822685.360463571, 4595324.279450413 5822690.991015036)",150
100645,25954557,1668033985,4595282.818363717,5822688.175739303,"LINESTRING (4595324.279450413 5822690.991015036, 4595241.357277021 5822685.360463571)",280
100646,25954557,29221578,4595396.589156622,5822678.412305236,"LINESTRING (4595324.279450413 5822690.991015036, 4595468.898862832 5822665.833595435)",140
100647,29221578,25954557,4595396.589156622,5822678.412305236,"LINESTRING (4595468.898862832 5822665.833595435, 4595324.279450413 5822690.991015036)",250
100648,29221578,29221614,4595544.771975684,5822651.94069251,"LINESTRING (4595468.898862832 5822665.833595435, 4595620.645088536 5822638.047789585)",60
100649,29221614,29221578,4595544.771975684,5822651.94069251,"LINESTRING (4595620.645088536 5822638.047789585, 4595468.898862832 5822665.833595435)",230
100650,29221614,1661927348,4595675.607936525,5822628.94135472,"LINESTRING (4595620.645088536 5822638.047789585, 4595730.570784514 5822619.834919855)",60
100651,1661927348,29221614,4595675.607936525,5822628.94135472,"LINESTRING (4595730.570784514 5822619.834919855, 4595620.645088536 5822638.047789585)",180
101050,21441730,3578703315,4593153.738913875,5825431.3578691725,"LINESTRING (4593131.83128326 5825422.080782587, 4593175.646544489 5825440.634955759)",1550
101051,540764470,196772388,4595958.991793675,5821471.175179632,"LINESTRING (4595950.57346404 5821497.107388569, 4595967.410123311 5821445.242970695)",10
101052,196772388,540764470,4595958.991793675,5821471.175179632,"LINESTRING (4595967.410123311 5821445.242970695, 4595950.57346404 5821497.107388569)",170
101053,59893232,302052019,4593069.550757424,5825382.990221033,"LINESTRING (4593124.479287812 5825434.786153956, 4593014.622227036 5825331.194288109)",3750
101054,302052019,303647840,4592942.532472361,5825259.889846237,"LINESTRING (4593014.622227036 5825331.194288109, 4592870.442717685 5825188.585404366)",3900
101055,303647840,28252024,4592861.723177806,5825178.25187951,"LINESTRING (4592870.442717685 5825188.585404366, 4592853.003637927 5825167.918354653)",3880
101064,26744613,26807680,4592492.2713920735,5821978.092591883,"LINESTRING (4592373.281380182 5821998.715898, 4592611.261403965 5821957.469285766)",3990
101077,196772388,1876479331,4595974.44026464,5821419.122208867,"LINESTRING (4595967.410123311 5821445.242970695, 4595981.470405971 5821393.001447041)",10
101078,1876479331,196772388,4595974.44026464,5821419.122208867,"LINESTRING (4595981.470405971 5821393.001447041, 4595967.410123311 5821445.242970695)",170
101079,1876479331,28373974,4595979.759300673,5821316.508095806,"LINESTRING (4595981.470405971 5821393.001447041, 4595978.048195375 5821240.014744571)",90
101080,28373974,1876479331,4595979.759300673,5821316.508095806,"LINESTRING (4595978.048195375 5821240.014744571, 4595981.470405971 5821393.001447041)",140
101119,4978164606,24985979,4593924.1137316,5824847.907526481,"LINESTRING (4593899.4529858865 5824855.977663744, 4593948.774477315 5824839.837389218)",220
101120,24985979,4978164606,4593924.1137316,5824847.907526481,"LINESTRING (4593948.774477315 5824839.837389218, 4593899.4529858865 5824855.977663744)",110
101297,3925729385,28300192,4593289.687508745,5825751.086145628,"LINESTRING (4593306.666458736 5825749.2335536685, 4593272.708558755 5825752.938737587)",17700
101325,29215058,3352479278,4595747.528995736,5820803.892722074,"LINESTRING (4595745.53206082 5820806.86469958, 4595749.5259306505 5820800.920744567)",1010
101326,3352479278,29215058,4595747.528995736,5820803.892722074,"LINESTRING (4595749.5259306505 5820800.920744567, 4595745.53206082 5820806.86469958)",460
101427,4279705567,26756812,4591458.384007309,5822318.491816193,"LINESTRING (4591504.858925847 5822318.947177701, 4591411.909088769 5822318.036454684)",4230
101588,21432801,735967920,4596165.535484675,5821804.10919621,"LINESTRING (4596173.2108384855 5821793.58497232, 4596157.860130865 5821814.6334200995)",420
101593,3153666983,2938442114,4596152.646462284,5821760.750935817,"LINESTRING (4596138.300776868 5821738.691426596, 4596166.9921477 5821782.810445038)",2330
101729,3803606237,1342724020,4593105.901797807,5821183.737827506,"LINESTRING (4593115.908922635 5821184.924071245, 4593095.894672978 5821182.551583767)",3460
101837,28299641,29121111,4593381.830187642,5825216.283050589,"LINESTRING (4593280.840774384 5825059.28510437, 4593482.8196009 5825373.280996808)",70
101838,29121111,28299641,4593381.830187642,5825216.283050589,"LINESTRING (4593482.8196009 5825373.280996808, 4593280.840774384 5825059.28510437)",70
101853,3144862329,768038173,4596087.563599087,5821729.626631134,"LINESTRING (4596108.426427505 5821747.266597329, 4596066.700770671 5821711.98666494)",8160
101858,5140469217,5140469216,4592470.839786256,5820104.567825967,"LINESTRING (4592499.846634224 5820093.855794767, 4592441.832938288 5820115.279857168)",8580
101861,5140469216,26704115,4592393.83549132,5820138.106753439,"LINESTRING (4592441.832938288 5820115.279857168, 4592345.838044351 5820160.93364971)",8580
101862,26704115,26704114,4592314.302078482,5820174.348310137,"LINESTRING (4592345.838044351 5820160.93364971, 4592282.766112612 5820187.762970564)",8580
101863,26704114,20246264,4592234.099796711,5820193.860249916,"LINESTRING (4592282.766112612 5820187.762970564, 4592185.43348081 5820199.957529268)",9250
101887,5140469192,1684200006,4593109.255423363,5820086.012909605,"LINESTRING (4593126.646351373 5820076.89844692, 4593091.864495355 5820095.12737229)",8770
101891,1684200002,388575368,4593041.728347661,5820061.857459404,"LINESTRING (4593031.011891523 5820064.464737935, 4593052.4448037995 5820059.250180873)",5950
101961,26822776,26869275,4593539.951689426,5820473.840205753,"LINESTRING (4593514.116118796 5820469.41264737, 4593565.7872600565 5820478.267764135)",12050
101962,26822716,1711812123,4593576.73666665,5820591.378071925,"LINESTRING (4593572.725367819 5820554.235408649, 4593580.747965479 5820628.520735201)",2540
101963,1711812123,25664333,4593589.7692063525,5820708.457439065,"LINESTRING (4593580.747965479 5820628.520735201, 4593598.790447227 5820788.394142928)",2380
101964,25664333,430206552,4593599.695803179,5820797.177064964,"LINESTRING (4593598.790447227 5820788.394142928, 4593600.601159132 5820805.959987)",2980
101965,430206552,430206553,4593600.898130904,5820812.282482892,"LINESTRING (4593600.601159132 5820805.959987, 4593601.195102676 5820818.604978786)",6290
101979,423090019,3149780232,4593399.8184487,5820474.159124632,"LINESTRING (4593502.752678907 5820489.420940835, 4593296.884218494 5820458.89730843)",11080
102007,4073228498,4163212867,4595811.333628189,5822014.281053077,"LINESTRING (4595818.496051477 5822021.606207266, 4595804.1712049 5822006.955898888)",3540
102013,682328112,623872889,4591128.948127209,5823231.824323393,"LINESTRING (4591143.625979906 5823278.37380996, 4591114.2702745125 5823185.274836826)",1110
102014,623872889,682328112,4591128.948127209,5823231.824323393,"LINESTRING (4591114.2702745125 5823185.274836826, 4591143.625979906 5823278.37380996)",1440
102015,1932251257,26726582,4590285.713731083,5823042.056713086,"LINESTRING (4590315.65452132 5823042.986806081, 4590255.772940846 5823041.1266200915)",5110
